Name,Age,Height,Weight,Position,Apps,Total minutes,Scored goals,Assists,Total shots,Shots on goal,Duels total,Duels won,Dribble attempts,Dribbles succ.,Total duels,Total passes,Key passes,Tackles,Blocks,Interceptions,Total saves,Goals conceded,Fouls drawn,Fouls committed,Yellow cards,Red cards for 2nd yellow,Straight red cards,Penalties won,Penalties scored,Penalties missed,Penalties committed,Penalties saved
S. Agüero,33,173 cm,70 kg,Attacker,12.0,559.0,4.0,1.0,17.0,12.0,51.0,21.0,13.0,8.0,51.0,171.0,7.0,4.0,,2.0,,0.0,7.0,2.0,0.0,0.0,0.0,,1.0,1.0,,
Lee Grant,39,193 cm,83 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
B. Ivanović,37,185 cm,89 kg,Defender,13.0,765.0,0.0,,3.0,1.0,58.0,31.0,,,58.0,317.0,1.0,14.0,5.0,8.0,,0.0,4.0,11.0,2.0,0.0,0.0,,0.0,0.0,,
Gary Cahill,37,193 cm,86 kg,Defender,20.0,1800.0,1.0,1.0,8.0,3.0,139.0,86.0,1.0,1.0,139.0,746.0,8.0,13.0,22.0,13.0,,0.0,3.0,12.0,3.0,0.0,0.0,,0.0,0.0,,
G. Sigurðsson,33,186 cm,79 kg,Midfielder,36.0,2255.0,6.0,5.0,33.0,17.0,169.0,67.0,26.0,14.0,169.0,853.0,44.0,30.0,2.0,34.0,,0.0,18.0,22.0,2.0,0.0,0.0,,3.0,1.0,,
W. Morgan,37,186 cm,101 kg,Defender,3.0,15.0,0.0,,,,,,,,,5.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Mark Noble,35,180 cm,70 kg,Midfielder,21.0,705.0,0.0,,1.0,,48.0,21.0,2.0,2.0,48.0,430.0,5.0,8.0,3.0,13.0,,0.0,8.0,9.0,1.0,0.0,0.0,,0.0,0.0,,
Jack Wilshere,30,172 cm,68 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
D. Pröpper,31,185 cm,79 kg,Midfielder,7.0,210.0,0.0,,2.0,2.0,25.0,11.0,3.0,2.0,25.0,93.0,,6.0,,1.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
J. Izquierdo,30,171 cm,73 kg,Attacker,1.0,8.0,0.0,,1.0,1.0,1.0,,1.0,,1.0,7.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
G. Barry,39,183 cm,78 kg,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed El Mohamady,34,183 cm,75 kg,Defender,14.0,833.0,0.0,,8.0,1.0,64.0,40.0,3.0,2.0,64.0,470.0,13.0,17.0,3.0,17.0,,0.0,3.0,6.0,2.0,0.0,0.0,,0.0,0.0,,
Michael Hector,30,193 cm,82 kg,Defender,4.0,264.0,0.0,,,,29.0,15.0,3.0,3.0,29.0,186.0,1.0,3.0,2.0,,,0.0,3.0,5.0,2.0,0.0,0.0,,0.0,0.0,,
Jota Peleteiro,30,180 cm,70 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
K. Hayden,18,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Jake Steven Cain,21,176 cm,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
L. Dendoncker,21,188 cm,,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Brandon Leroy Pierrick Keutcha,21,182 cm,79 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
A. Hackford,17,,,Attacker,1.0,10.0,0.0,,,,1.0,,,,1.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Frankie Maguire,19,,,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
